Team Name,Year,Tax Payments,Winning Percentage,PPG,Revenue,Tax Threshold,Cap Minimum,Top Players,Salaries,Tax Ratio
Atlanta,2024,0.0,0.439,117.0,0.0,170814000.0,126529000.0,1,40064220,0.23454880747479714
Boston,2024,41.38,0.78,124.3,0.0,170814000.0,126529000.0,3,105477967,0.6175018850913859
Brooklyn,2024,0.0,0.39,117.8,0.0,170814000.0,126529000.0,1,37893408,0.2218401770346693
Charlotte,2024,0.0,0.256,112.0,0.0,170814000.0,126529000.0,0,0,0.0
Chicago,2024,0.0,0.476,116.3,0.0,170814000.0,126529000.0,1,40064220,0.23454880747479714
Cleveland,2024,0.0,0.585,123.5,0.0,170814000.0,126529000.0,2,67167280,0.3932188228131184
Dallas,2024,0.0,0.61,113.0,0.0,170814000.0,126529000.0,2,77101257,0.4513755137166743
Denver,2024,20.24,0.695,115.5,0.0,170814000.0,126529000.0,3,114827600,0.6722376386010515
Detroit,2024,0.0,0.171,106.5,0.0,170814000.0,126529000.0,0,0,0.0
Golden State,2024,176.88,0.561,123.8,0.0,170814000.0,126529000.0,2,95135055,0.5569511573992764
Houston,2024,0.0,0.5,111.3,0.0,170814000.0,126529000.0,1,40806300,0.23889318205767676
Indiana,2024,0.0,0.566,110.5,0.0,170814000.0,126529000.0,1,37893408,0.2218401770346693
LA,2024,142.41,0.622,111.3,0.0,170814000.0,126529000.0,3,126920168,0.7430314142868851
LA Lakers,2024,7.05,0.578,117.3,0.0,170814000.0,126529000.0,2,88207430,0.51639461636634
Memphis,2024,0.0,0.329,120.3,0.0,170814000.0,126529000.0,1,34005250,0.19907765171473063
Miami,2024,15.25,0.561,105.7,0.0,170814000.0,126529000.0,2,77784020,0.45537262753638463
Milwaukee,2024,51.96,0.598,114.0,0.0,170814000.0,126529000.0,2,91280168,0.5343834111958036
Minnesota,2024,0.0,0.683,111.5,0.0,170814000.0,126529000.0,2,77016200,0.45087756272905033
New Orleans,2024,0.0,0.598,109.3,0.0,170814000.0,126529000.0,3,103641119,0.606748387134544
New York,2024,0.0,0.61,112.0,0.0,170814000.0,126529000.0,0,0,0.0
Oklahoma City,2024,0.0,0.695,114.7,0.0,170814000.0,126529000.0,1,33386850,0.19545733956233097
Orlando,2024,0.0,0.573,115.5,0.0,170814000.0,126529000.0,0,0,0.0
Philadelphia,2024,0.0,0.573,111.3,0.0,170814000.0,126529000.0,2,86170150,0.5044677251279169
Phoenix,2024,68.16,0.598,113.8,0.0,170814000.0,126529000.0,3,130407223,0.7634457538609247
Portland,2024,0.0,0.256,107.5,0.0,170814000.0,126529000.0,1,32459438,0.19002797194609342
Sacramento,2024,0.0,0.561,116.5,0.0,170814000.0,126529000.0,1,32600060,0.19085121828421558
San Antonio,2024,0.0,0.268,106.3,0.0,170814000.0,126529000.0,0,0,0.0
Toronto,2024,0.0,0.305,111.8,0.0,170814000.0,126529000.0,0,0,0.0
Utah,2024,0.0,0.378,102.0,0.0,170814000.0,126529000.0,0,0,0.0
Washington,2024,0.0,0.183,113.0,0.0,170814000.0,126529000.0,0,0,0.0
Atlanta,2023,0.0,0.5,118.3,0.0,165294000.0,122418000.0,1,37095000,0.22441830919452613
Boston,2023,69.14,0.695,118.4,0.0,165294000.0,122418000.0,0,0,0.0
Brooklyn,2023,14.5,0.549,110.4,0.0,165294000.0,122418000.0,1,35448672,0.21445831064648443
Charlotte,2023,0.0,0.329,106.6,0.0,165294000.0,122418000.0,1,30075000,0.18194852807724418
Chicago,2023,0.0,0.488,112.2,0.0,165294000.0,122418000.0,1,37096500,0.2244273839340811
Cleveland,2023,0.0,0.622,110.8,0.0,165294000.0,122418000.0,1,30913750,0.1870228199450676
Dallas,2023,56.7,0.463,115.3,0.0,165294000.0,122418000.0,2,76012057,0.45985974687526465
Denver,2023,17.3,0.646,113.2,0.0,165294000.0,122418000.0,3,95611554,0.5784333006642709
Detroit,2023,0.0,0.207,109.9,0.0,165294000.0,122418000.0,0,0,0.0
Golden State,2023,163.71,0.537,117.5,0.0,165294000.0,122418000.0,3,122286864,0.739814294529747
Houston,2023,0.0,0.268,114.3,0.0,165294000.0,122418000.0,0,0,0.0
Indiana,2023,0.0,0.427,121.6,0.0,165294000.0,122418000.0,1,35096500,0.21232773119411472
LA,2023,140.3,0.537,114.6,0.0,165294000.0,122418000.0,2,84984984,0.5141443972557987
LA Lakers,2023,35.94,0.524,117.3,0.0,165294000.0,122418000.0,3,113833458,0.6886726559947729
Memphis,2023,0.0,0.622,105.8,0.0,165294000.0,122418000.0,1,28946605,0.175121934250487
Miami,2023,0.0,0.537,109.1,0.0,165294000.0,122418000.0,2,68005080,0.41141892627681587
Milwaukee,2023,83.87,0.707,118.4,0.0,165294000.0,122418000.0,3,114105808,0.6903203262066379
