Year,Name,Position,Team,Salary,Salary_Cap
2024,Stephen Curry,PG,Golden State,55761216,170814000
2024,Joel Embiid,C,Philadelphia,51415938,170814000
2024,Nikola Jokic,C,Denver,51415938,170814000
2024,Kevin Durant,PF,Phoenix,51179021,170814000
2024,Bradley Beal,SG,Phoenix,50203930,170814000
2024,Kawhi Leonard,SF,LA,49350000,170814000
2024,Devin Booker,SG,Phoenix,49205800,170814000
2024,Paul George,F,Philadelphia,49205800,170814000
2024,Karl-Anthony Towns,C,Minnesota,49205800,170814000
2024,Jaylen Brown,SG,Boston,49205800,170814000
2024,Jimmy Butler,SF,Miami,48798677,170814000
2024,Giannis Antetokounmpo,PF,Milwaukee,48787676,170814000
2024,Damian Lillard,PG,Milwaukee,48787676,170814000
2024,LeBron James,SF,LA Lakers,48728845,170814000
2024,Rudy Gobert,C,Minnesota,43827587,170814000
2024,Anthony Davis,PF,LA Lakers,43219440,170814000
2024,Luka Doncic,PG,Dallas,43031940,170814000
2024,Zach LaVine,SG,Chicago,43031940,170814000
2024,Trae Young,PG,Atlanta,43031940,170814000
2024,Fred VanVleet,PG,Houston,42846615,170814000
2024,Lauri Markkanen,PF,Utah,42176400,170814000
2024,Anthony Edwards,SG,Minnesota,42176400,170814000
2024,Tyrese Haliburton,PG,Indiana,42176000,170814000
2024,Pascal Siakam,PF,Indiana,42176000,170814000
2024,Kyrie Irving,PG,Dallas,41000000,170814000
2024,Domantas Sabonis,PF,Sacramento,40500000,170814000
2024,Ben Simmons,PG,Brooklyn,40338144,170814000
2024,Ja Morant,PG,Memphis,36725670,170814000
2024,Darius Garland,PG,Cleveland,36725670,170814000
2024,Zion Williamson,PF,New Orleans,36725670,170814000
2024,OG Anunoby,SF,New York,36637931,170814000
2024,Jamal Murray,PG,Denver,36016200,170814000
2024,Brandon Ingram,SF,New Orleans,36016200,170814000
2024,Shai Gilgeous-Alexander,PG,Oklahoma City,35859950,170814000
2024,Michael Porter Jr.,SF,Denver,35859950,170814000
2024,Donovan Mitchell,SG,Cleveland,35410310,170814000
2024,LaMelo Ball,PG,Charlotte,35147000,170814000
2024,Tyrese Maxey,PG,Philadelphia,35147000,170814000
2024,De'Aaron Fox,PG,Sacramento,34848340,170814000
2024,Bam Adebayo,C,Miami,34848340,170814000
,,,,,
2023,Stephen Curry,PG,Golden State,51915615,165294000
2023,Kevin Durant,PF,Phoenix,47649433,165294000
2023,LeBron James,SF,LA Lakers,47607350,165294000
2023,Nikola Jokic,C,Denver,47607350,165294000
2023,Joel Embiid,C,Philadelphia,46900000,165294000
2023,Bradley Beal,SG,Phoenix,46741590,165294000
2023,Giannis Antetokounmpo,PF,Milwaukee,45640084,165294000
2023,Damian Lillard,PG,Milwaukee,45640084,165294000
2023,Kawhi Leonard,SF,LA,45640084,165294000
2023,Paul George,F,LA,45640084,165294000
2023,Jimmy Butler,SF,Miami,45183960,165294000
2023,Klay Thompson,SG,Golden State,43219440,165294000
2023,Rudy Gobert,C,Minnesota,41000000,165294000
2023,Fred VanVleet,PG,Houston,40806300,165294000
2023,Anthony Davis,PF,LA Lakers,40600080,165294000
2023,Luka Doncic,PG,Dallas,40064220,165294000
2023,Zach LaVine,SG,Chicago,40064220,165294000
2023,Trae Young,PG,Atlanta,40064220,165294000
2023,Tobias Harris,F,Philadelphia,39270150,165294000
2023,Ben Simmons,PG,Brooklyn,37893408,165294000
2023,Pascal Siakam,PF,Indiana,37893408,165294000
2023,Kyrie Irving,PG,Dallas,37037037,165294000
2023,Jrue Holiday,PG,Boston,36861707,165294000
2023,Devin Booker,SG,Phoenix,36016200,165294000
2023,Karl-Anthony Towns,C,Minnesota,36016200,165294000
2023,Kristaps Porzingis,C,Boston,36016200,165294000
2023,CJ McCollum,SG,New Orleans,35802469,165294000
2023,James Harden,SG,LA,35640000,165294000
2023,Ja Morant,PG,Memphis,34005250,165294000
2023,Darius Garland,PG,Cleveland,34005250,165294000
2023,Zion Williamson,PF,New Orleans,34005250,165294000
2023,Jamal Murray,PG,Denver,33833400,165294000
2023,Brandon Ingram,SF,New Orleans,33833400,165294000
2023,Shai Gilgeous-Alexander,PG,Oklahoma City,33386850,165294000
2023,Michael Porter Jr.,SF,Denver,33386850,165294000
2023,Donovan Mitchell,SG,Cleveland,33162030,165294000
2023,De'Aaron Fox,PG,Sacramento,32600060,165294000
2023,Bam Adebayo,C,Miami,32600060,165294000
2023,Jayson Tatum,SF,Boston,32600060,165294000
2023,Deandre Ayton,C,Portland,32459438,165294000
,,,,,
2022,Stephen Curry,PG,Golden State,48070014,150267000
2022,LeBron James,SF,LA Lakers,44474988,150267000
2022,Kevin Durant,PF,Phoenix,44119845,150267000
2022,Bradley Beal,SG,Washington,43279250,150267000
2022,Giannis Antetokounmpo,PF,Milwaukee,42492492,150267000
2022,Damian Lillard,PG,Portland,42492492,150267000
2022,Kawhi Leonard,SF,LA,42492492,150267000
2022,Paul George,F,LA,42492492,150267000
2022,Klay Thompson,SG,Golden State,40600080,150267000
2022,Kyrie Irving,PG,Dallas,38917057,150267000
2022,Rudy Gobert,C,Minnesota,38172414,150267000
2022,Anthony Davis,PF,LA Lakers,37980720,150267000
2022,Khris Middleton,SF,Milwaukee,37948276,150267000
2022,Jimmy Butler,SF,Miami,37653300,150267000
2022,Tobias Harris,F,Philadelphia,37633050,150267000
2022,Zach LaVine,SG,Chicago,37096500,150267000
2022,Luka Doncic,PG,Dallas,37095000,150267000
2022,Trae Young,PG,Atlanta,37095000,150267000
2022,Ben Simmons,PG,Brooklyn,35448672,150267000
2022,Pascal Siakam,PF,Toronto,35448672,150267000
2022,Myles Turner,C,Indiana,35096500,150267000
2022,Devin Booker,SG,Phoenix,33833400,150267000
2022,Karl-Anthony Towns,C,Minnesota,33833400,150267000
2022,Kristaps Porzingis,C,Washington,33833400,150267000
2022,Jrue Holiday,PG,Milwaukee,33665040,150267000
2022,Joel Embiid,C,Philadelphia,33616770,150267000
2022,Andrew Wiggins,SF,Golden State,33616770,150267000
2022,CJ McCollum,SG,New Orleans,33333333,150267000
2022,Nikola Jokic,C,Denver,33047804,150267000
2022,James Harden,SG,Philadelphia,33000000,150267000
2022,Brandon Ingram,SF,New Orleans,31650600,150267000
2022,Jamal Murray,PG,Denver,31650000,150267000
2022,D'Angelo Russell,PG,LA Lakers,31377750,150267000
2022,Shai Gilgeous-Alexander,PG,Oklahoma City,30913750,150267000
2022,Deandre Ayton,C,Phoenix,30913750,150267000
2022,Michael Porter Jr.,SF,Denver,30913750,150267000
2022,Donovan Mitchell,SG,Cleveland,30913750,150267000
2022,Bam Adebayo,C,Miami,30351780,150267000
2022,Gordon Hayward,SF,Charlotte,30075000,150267000
2022,Jaren Jackson Jr.,PF,Memphis,28946605,150267000
,,,,,
2021,Stephen Curry,PG,Golden State,45780966,136606000
2021,James Harden,SG,Philadelphia,44310840,136606000
2021,John Wall,PG,Houston,44310840,136606000
2021,Russell Westbrook,PG,LA Lakers,44211146,136606000
2021,Kevin Durant,PF,Brooklyn,42018900,136606000
2021,LeBron James,SF,LA Lakers,41180544,136606000
2021,Giannis Antetokounmpo,PF,Milwaukee,39344970,136606000
2021,Damian Lillard,PG,Portland,39344900,136606000
2021,Kawhi Leonard,SF,LA,39344900,136606000
2021,Paul George,F,LA,39344900,136606000
2021,Klay Thompson,SG,Golden State,37980720,136606000
2021,Jimmy Butler,SF,Miami,36016200,136606000
2021,Tobias Harris,F,Philadelphia,35995950,136606000
2021,Khris Middleton,SF,Milwaukee,35500000,136606000
2021,Anthony Davis,PF,LA Lakers,35361360,136606000
2021,Rudy Gobert,C,Utah,35344828,136606000
2021,Kyrie Irving,PG,Brooklyn,35328700,136606000
2021,Bradley Beal,SG,Washington,33724200,136606000
2021,Ben Simmons,PG,Brooklyn,33003936,136606000
2021,Pascal Siakam,PF,Toronto,33003936,136606000
2021,Jrue Holiday,PG,Milwaukee,32413333,136606000
2021,Devin Booker,SG,Phoenix,31650600,136606000
2021,Karl-Anthony Towns,C,Minnesota,31650600,136606000
2021,Kristaps Porzingis,C,Washington,31650600,136606000
2021,Joel Embiid,C,Philadelphia,31579390,136606000
2021,Andrew Wiggins,SF,Golden State,31579390,136606000
2021,Nikola Jokic,C,Denver,31579390,136606000
2021,Kevin Love,PF,Cleveland,31258256,136606000
2021,CJ McCollum,SG,New Orleans,30864198,136606000
2021,D'Angelo Russell,PG,Minnesota,30013500,136606000
2021,Chris Paul,PG,Phoenix,30000000,136606000
2021,Gordon Hayward,SF,Charlotte,29925000,136606000
2021,Jamal Murray,PG,Denver,29467800,136606000
2021,Brandon Ingram,SF,New Orleans,29467800,136606000
2021,De'Aaron Fox,PG,Sacramento,28103550,136606000
2021,Bam Adebayo,C,Miami,28103500,136606000
2021,Donovan Mitchell,SG,Utah,28103500,136606000
2021,Jayson Tatum,SF,Boston,28103500,136606000
2021,Al Horford,C,Boston,27000000,136606000
2021,Kyle Lowry,PG,Miami,26894128,136606000
,,,,,
2020,Stephen Curry,PG,Golden State,43006362,132627000
2020,Russell Westbrook,PG,Washington,41358814,132627000
2020,Chris Paul,PG,Phoenix,41358814,132627000
2020,James Harden,SG,Brooklyn,41254920,132627000
2020,John Wall,PG,Houston,41254920,132627000
2020,Kevin Durant,PF,Brooklyn,40108950,132627000
2020,LeBron James,SF,LA Lakers,39219565,132627000
2020,Paul George,F,LA,35450412,132627000
2020,Klay Thompson,SG,Dallas,35361360,132627000
2020,Mike Conley,PG,Utah,34502130,132627000
2020,Jimmy Butler,SF,Miami,34379100,132627000
2020,Kawhi Leonard,SF,LA,34379100,132627000
2020,Kemba Walker,PG,Boston,34379100,132627000
2020,Tobias Harris,F,Philadelphia,34358850,132627000
2020,Khris Middleton,SF,Milwaukee,33051724,132627000
2020,Anthony Davis,PF,LA Lakers,32742000,132627000
2020,Kyrie Irving,PG,Brooklyn,31742000,132627000
2020,Damian Lillard,PG,Portland,31626953,132627000
2020,Kevin Love,PF,Cleveland,31258256,132627000
2020,Ben Simmons,PG,Philadelphia,30559200,132627000
2020,Pascal Siakam,PF,Toronto,30559200,132627000
2020,Kyle Lowry,PG,Toronto,30500000,132627000
